NUM_DOCUMENTO_STD	FECHA_CREA	FECHA_FINALIZACION	MES_F	MES_F_1	MES_CREA	MES_CREA_1	ANIO_INGRESO	ASUNTO	D_T	INSTITUCION	RESPUESTA	CUERPO	UNIDAD_ORG
E-000365-2020	02-01-2020 11:59:15 AM	02-01-2020 03:50:29 PM	01	ENERO     	01	ENERO     	2020	NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N°3006064501-2019-2552-0	0	MINISTERIO PUBLICO	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA
(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)
(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"	NULL	PROCURADURIA PUBLICA
E-001417-2020	03-01-2020 10:52:35 AM	24-01-2020 04:27:40 PM	01	ENERO     	01	ENERO     	2020	FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS - REMITE COBRE CERRADO COMO RESERVADO.	15	MINISTERIO PUBLICO	"OFICIO DIRIGIDO A LA FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS
"	NULL	DESPACHO MINISTERIAL
E-001424-2020	03-01-2020 10:54:08 AM	10-01-2020 12:34:37 PM	01	ENERO     	01	ENERO     	2020	FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS - REMITE COBRE CERRADO COMO RESERVADO.	5	MINISTERIO PUBLICO	ANGELIA ELIZABETH ZULOAGA BAYES - FISCAL ADJUNTA PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS - TERCER DESPACHO	NULL	DESPACHO MINISTERIAL
E-003580-2020	06-01-2020 02:57:35 PM	12-07-2020 02:23:34 PM	07	JULIO     	01	ENERO     	2020	REMITE VAOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N° 2382-2019	130	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-000093-2020	02-01-2020 09:46:41 AM	03-01-2020 02:25:18 PM	01	ENERO     	01	ENERO     	2020	DEVUELVE LOS DISPOSITIVOS LEGALES .D S N° 037-2019-MTC Y D.S N°  038-2019-MTC	0	DESPACHO PRESIDENCIAL	NULL	NULL	SECRETARIA GENERAL
E-003100-2020	06-01-2020 11:31:30 AM	13-01-2020 04:38:14 PM	01	ENERO     	01	ENERO     	2020	LA FISCALIA SUPRAPRONVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS TERCER DESPACHO EQUIPO ESPECIAL: REMITE EN SOBRE RESERVADO EL OFICIO N°1-2020-EE/FSUPRAPCEDCF-MP-FN CCE:3-2019 DIRIGIDO AL SR. MINISTRO MTC EDMER TRUJILLO MORI 	5	MINISTERIO PUBLICO	ANGELA ELIZABETH ZULOAGA BAYES - FISCAL ADJUNTO PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORRPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - EQUIPO ESPECIAL	NULL	DESPACHO MINISTERIAL
E-004667-2020	07-01-2020 10:12:09 AM	10-07-2020 02:41:46 PM	07	JULIO     	01	ENERO     	2020	CONDUCIÓN ESTADO DE EBRIEDAD  O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1827-0/ IMPUTADO JHON KENI PORTA SANTIAGO 	129	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-008100-2020	09-01-2020 10:52:13 AM	22-01-2020 03:48:11 PM	01	ENERO     	01	ENERO     	2020	TERCERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUAMANGA:  SOLICITA COPIA CERTIFICADA DEL EXPEDIENTE INTEGRO GENERADO PARA LA OBTENCION DE LA LICENCIA DE CONDUCIR DE ALFREDO ESPINOZA APACCLLA	9	MINISTERIO PUBLICO	SE ATENDIO.	NULL	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)
E-000538-2020	02-01-2020 02:08:07 PM	30-01-2020 06:34:28 PM	01	ENERO     	01	ENERO     	2020	REMITE OFICIO N°581-2019-MDP-A DE LA MUNICIPALIDAD DISTRITAL DE PUCAYACU, SOLICITA FINANCIAMIENTO PARA LA INSTALACIÓN DE PUENTES MODULARES. 	20	MINISTERIO DE ECONOMIA Y FINANZAS	ATENDIDO CON OFICIO N° 120-2020-MTC/21.GIE AL SR. LUIS GOMEZ LOZANO ALCALDE DE LA MUNIC. DIST. DE PUCAYACU - HUANUCO EXP. PVD N° E012000392.	NULL	OFICINA GENERAL DE PLANEAMIENTO Y PRESUPUESTO
E-003425-2020	06-01-2020 02:10:06 PM	12-07-2020 02:27:07 PM	07	JULIO     	01	ENERO     	2020	REMITE VOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD REFERENTE A LA CARPETA FISCAL N° 2379-2019	130	MINISTERIO PUBLICO	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)
"	NULL	PROCURADURIA PUBLICA
E-004752-2020	07-01-2020 10:44:20 AM	10-02-2020 10:46:51 AM	02	FEBRERO   	01	ENERO     	2020	SOLICITA QUE SE REMITA EL DECRETO  LEGISLATIVO Y SU REGLAMENTO DONDE PRECISE CUAL ES EL TRAMITE A SEGUIR CUANDO SE PIERDEN EQUIPAJES DE LA BODEGA DEL VEHÍCULO/SEXTA FISCALIA PROVINCIAL PENAL CORPORATIVA /CASO N° 0980-2019	24	MINISTERIO PUBLICO	NULL	NULL	DIRECCION GENERAL DE POLITICAS Y REGULACION EN TRANSPORTE MULTIMODAL-(NUEVO-ROF)
