PARAMETROS	UNIDAD_ORG	RESPUESTA
NOTIFICA DISPOSICIÓN , REFERENTE AL CASO N°3006064501-2019-2552-0MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"ATENDIDAS Y DERIVADAS AL ÁREA DE SEGURIDAD PUBLICA

(SE PROCEDE A FINALIZAR LAS NOTIFICACIONES DE CONDUCCIÓN DE ESTADO DE EBRIEDAD, LAS CUALES HAN SIDO ATENDIDAS EN SU MOMENTO VÍA CORREO ELECTRÓNICO VÍA CASILLA O ENVIADAS EN FÍSICO,INFORMACIÓN AL ANEXO 1619)

(BOUCHER Y ACTAS DE AUDIENCIA ANEXADAS EN SU LEGAJO RESPECTIVO)"

FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS - REMITE COBRE CERRADO COMO RESERVADO.MINISTERIO PUBLICO	DESPACHO MINISTERIAL	"OFICIO DIRIGIDO A LA FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS

"

FISCALÍA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUCCIÓN DE FUNCIONARIOS - REMITE COBRE CERRADO COMO RESERVADO.MINISTERIO PUBLICO	DESPACHO MINISTERIAL	ANGELIA ELIZABETH ZULOAGA BAYES - FISCAL ADJUNTA PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS - TERCER DESPACHO

REMITE VAOUCHER DE PAGO POR PRINCIPIO DE OPORTUNIDAD , REFERENTE A CARPETA FISCAL N° 2382-2019MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

DEVUELVE LOS DISPOSITIVOS LEGALES .D S N° 037-2019-MTC Y D.S N°  038-2019-MTCDESPACHO PRESIDENCIAL	SECRETARIA GENERAL	NULL

LA FISCALIA SUPRAPRONVINCIAL CORPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCIÓN DE FUNCIONARIOS TERCER DESPACHO EQUIPO ESPECIAL: REMITE EN SOBRE RESERVADO EL OFICIO N°1-2020-EE/FSUPRAPCEDCF-MP-FN CCE:3-2019 DIRIGIDO AL SR. MINISTRO MTC EDMER TRUJILLO MORI MINISTERIO PUBLICO	DESPACHO MINISTERIAL	ANGELA ELIZABETH ZULOAGA BAYES - FISCAL ADJUNTO PROVINCIAL - FISCALIA SUPRAPROVINCIAL CORRPORATIVA ESPECIALIZADA EN DELITOS DE CORRUPCION DE FUNCIONARIOS - EQUIPO ESPECIAL

CONDUCIÓN ESTADO DE EBRIEDAD  O DROGADICCIÓN/01 ° FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUÁNUCO/CASO N° 2006014501-2019-1827-0/ IMPUTADO JHON KENI PORTA SANTIAGO MINISTERIO PUBLICO	PROCURADURIA PUBLICA	"NOTIFICACIONES ASIGNADAS AL ÁREA PENAL , CONDUCCIÓN EN ESTADO DE EBRIEDAD (ANEXO 1618)

"

TERCERA FISCALIA PROVINCIAL PENAL CORPORATIVA DE HUAMANGA:  SOLICITA COPIA CERTIFICADA DEL EXPEDIENTE INTEGRO GENERADO PARA LA OBTENCION DE LA LICENCIA DE CONDUCIR DE ALFREDO ESPINOZA APACCLLAMINISTERIO PUBLICO	DIRECCION DE CIRCULACION VIAL-(NUEVO-ROF)	SE ATENDIO.

